#{"t_start": 1620827303.8721921, "env_id": "HalfCheetahPyBulletEnv-v0"}
r,l,t
-10.958959,16,22.523008
-6.542506,18,22.582061
8.158583,26,22.665867
-8.485343,14,22.711111
-11.444275,17,22.765031
-11.856594,16,22.816856
-11.863738,13,22.858254
-0.594578,17,22.913659
-8.3562,17,22.967581
-4.184256,17,23.021617
-2.708499,17,23.075316
-9.013372,14,23.120536
-10.135019,24,23.196539
-5.461788,13,23.239017
-7.89611,17,23.292568
-5.714941,23,23.36245
-19.634947,17,23.414057
-5.871953,15,23.460081
-3.287556,16,23.508647
-8.032986,13,23.549438
-5.321248,21,23.613596
-24.376384,24,23.714235
-2.585252,15,23.778565
-3.470718,19,23.847878
-1.471647,26,23.93334
1.700585,25,24.010467
-3.392093,26,24.08912
-11.371718,17,24.141398
-3.109384,15,24.186823
-5.395843,20,24.247244
-3.981918,14,24.289798
-1.523618,18,24.344657
1.826937,18,24.399837
-11.811493,16,24.44885
-1.412318,16,24.498461
-1.384265,18,24.555147
-6.999131,13,24.595713
-5.982655,15,24.6433
-3.277182,21,24.708125
-1.0223,18,24.76404
0.345751,16,24.814702
-7.920721,16,24.895973
0.6198,18,24.987112
-5.088957,18,25.055374
-12.410695,17,25.110546
-12.481753,16,25.162305
5.650909,25,25.241445
-1.199421,17,25.295703
-7.027902,20,25.357899
-4.402595,24,25.434353
-9.723609,17,25.487295
-6.379248,18,25.544921
-5.270855,18,25.628985
-3.02048,24,25.743727
-5.942764,17,25.807528
-5.494468,16,25.860537
0.018634,17,25.91452
-6.395402,16,25.966777
-2.269286,16,26.017894
-0.197419,19,26.079428
-2.631198,13,26.121055
-7.093597,18,26.178577
-5.833996,18,26.236191
-10.016548,17,26.290056
-9.93343,18,26.346276
-8.590625,18,26.402343
-3.023837,16,26.452266
-11.055844,19,26.511982
-5.443481,16,26.562526
-6.512201,15,26.609519
-5.431266,14,26.653582
-1.502017,17,26.706966
-8.220092,22,26.776225
-7.36305,17,26.829475
4.000917,21,26.895247
-5.078268,12,26.932935
-7.48665,17,26.986387
-5.472272,21,27.051946
-6.419862,15,27.098756
-5.128383,16,27.148741
-11.975288,27,27.232888
-1.266494,18,27.28953
-7.400919,17,27.342539
-4.962823,17,27.395583
-10.638872,16,27.44531
-13.52782,19,27.504522
-6.866007,13,27.545138
-9.040081,17,27.598233
-8.714569,15,27.645193
-10.348644,16,27.694851
-2.30642,15,27.742439
-2.647486,15,27.78994
-3.108848,15,27.836722
-0.839124,16,27.886625
-2.897808,16,27.93708
-2.549953,18,27.993549
-7.950348,14,28.037467
0.451478,17,28.090918
-4.663058,18,28.147505
-5.368631,13,28.188226
2.676808,24,28.263161
-7.82215,21,28.328761
-5.983107,21,28.394721
-7.105273,17,28.448184
-4.635355,16,28.498451
-5.411411,17,28.552086
-3.608041,18,28.609103
-0.283446,14,28.653304
-0.350331,17,28.70786
1.709507,25,28.788396
-5.09259,13,28.829326
-3.995011,19,31.973796
-11.688744,17,32.025862
-7.880312,16,32.074475
-2.532345,14,32.117127
-3.674843,17,32.168883
-12.492198,16,32.217584
-3.015501,15,32.263262
-6.238945,18,32.31828
-5.365152,23,32.388881
-6.018161,19,32.44857
2.217949,19,32.543431
-2.696376,18,32.630737
-12.40269,18,32.696205
-4.041187,18,32.755162
-6.951718,14,32.798551
