#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
r,l,t
10.0,10,10.44437
10.0,10,10.46259
10.0,10,10.480631
11.0,11,10.500344
8.0,8,10.514897
9.0,9,10.531307
9.0,9,10.548026
10.0,10,10.56657
10.0,10,10.585095
10.0,10,10.603673
11.0,11,10.624059
9.0,9,10.640744
9.0,9,10.657661
10.0,10,10.676172
9.0,9,10.693002
10.0,10,10.711965
10.0,10,10.730473
9.0,9,10.747134
9.0,9,10.76388
9.0,9,10.780544
10.0,10,10.799324
9.0,9,10.81602
9.0,9,10.832719
10.0,10,10.851522
10.0,10,10.870222
10.0,10,10.888907
8.0,8,10.903904
8.0,8,10.918864
10.0,10,10.937531
8.0,8,10.952463
10.0,10,10.971146
9.0,9,10.987773
9.0,9,11.004018
10.0,10,11.022435
9.0,9,11.038994
9.0,9,11.055475
9.0,9,11.072042
9.0,9,11.089674
10.0,10,11.108757
9.0,9,11.125851
10.0,10,11.144344
9.0,9,11.160729
9.0,9,11.178206
10.0,10,11.196287
9.0,9,11.213117
8.0,8,11.228492
9.0,9,11.245196
10.0,10,11.263188
9.0,9,11.279405
10.0,10,11.297485
11.0,11,11.317494
8.0,8,11.331946
9.0,9,11.348149
9.0,9,11.364474
10.0,10,11.383032
9.0,9,11.399358
8.0,8,11.41408
10.0,10,11.432319
10.0,10,11.450414
9.0,9,11.466684
9.0,9,11.483035
8.0,8,11.497434
10.0,10,11.515632
9.0,9,11.532423
8.0,8,11.547199
9.0,9,11.564012
10.0,10,11.583246
10.0,10,11.602093
9.0,9,11.61893
8.0,8,11.633499
9.0,9,11.650071
10.0,10,11.669031
8.0,8,11.684364
9.0,9,11.701585
11.0,11,11.723184
8.0,8,11.738799
10.0,10,11.760168
10.0,10,11.781466
9.0,9,11.800164
9.0,9,11.818125
10.0,10,11.838068
9.0,9,11.856087
9.0,9,11.874025
9.0,9,11.892026
9.0,9,11.910113
8.0,8,11.926154
9.0,9,11.944206
9.0,9,11.962143
10.0,10,11.982133
9.0,9,12.000147
10.0,10,12.020128
10.0,10,12.04013
9.0,9,12.058137
9.0,9,12.076138
10.0,10,12.096817
9.0,9,12.114761
9.0,9,12.132724
8.0,8,12.148707
10.0,10,12.168661
9.0,9,12.18666
10.0,10,12.20662
10.0,10,12.226598
11.0,11,12.248573
9.0,9,12.266547
9.0,9,12.284539
10.0,10,12.304471
10.0,10,12.324437
9.0,9,12.342311
9.0,9,12.359851
8.0,8,12.375663
9.0,9,12.393635
10.0,10,12.413597
10.0,10,12.433545
8.0,8,12.449499
10.0,10,12.470102
10.0,10,12.49145
9.0,9,12.510151
10.0,10,12.530755
9.0,9,12.548574
10.0,10,12.568423
10.0,10,12.587729
8.0,8,12.603645
10.0,10,12.623429
9.0,9,12.64098
9.0,9,12.658517
10.0,10,12.6782
10.0,10,12.697616
9.0,9,12.715422
10.0,10,12.734735
8.0,8,12.750589
10.0,10,12.770428
10.0,10,12.789864
9.0,9,12.807509
10.0,10,12.827226
9.0,9,12.844621
10.0,10,12.864431
9.0,9,12.882163
10.0,10,12.901547
10.0,10,12.921239
9.0,9,12.938663
10.0,10,12.958557
9.0,9,12.976453
10.0,10,12.996299
9.0,9,13.013732
10.0,10,13.033563
10.0,10,13.053302
9.0,9,13.070708
8.0,8,13.086533
8.0,8,13.102597
10.0,10,13.122501
9.0,9,13.140675
9.0,9,16.012166
11.0,11,16.034322
10.0,10,16.053201
9.0,9,16.070273
10.0,10,16.090679
9.0,9,16.109231
10.0,10,16.129055
10.0,10,16.148365
8.0,8,16.163751
9.0,9,16.181895
9.0,9,16.199754
10.0,10,16.2198
9.0,9,16.23703
11.0,11,16.258113
9.0,9,16.275303
10.0,10,16.294397
10.0,10,16.313536
8.0,8,16.328812
11.0,11,16.349838
8.0,8,16.36514
10.0,10,16.384203
9.0,9,16.4014
9.0,9,16.41857
9.0,9,16.435791
9.0,9,16.453024
9.0,9,16.470254
10.0,10,16.489414
9.0,9,16.506717
10.0,10,16.525965
9.0,9,16.543252
10.0,10,16.562389
10.0,10,16.581455
9.0,9,16.598582
9.0,9,16.615382
8.0,8,16.630283
10.0,10,16.649075
9.0,9,16.666493
10.0,10,16.685142
10.0,10,16.703806
9.0,9,16.720558
9.0,9,16.737142
10.0,10,16.755506
9.0,9,16.771803
10.0,10,16.789959
9.0,9,16.806257
9.0,9,16.822577
